Text,Image
"Krishna was exchanged at the house of Nanda (for a newborn baby girl). 
(On being hugged by Devaki) the girl began to cry. 
Hearing the cry, Kamsa’s messenger, who knows where he was hiding, instantly appeared at the doorway.
Snatching the child, he hurled her upon a stone.
But slipping from his grasp, young Durga flew up to heaven. 
From the heavenly Himalayas, she spoke. 
“What will you achieve, O hero, by killing me? 
“The one who shall kill you will be Gokul-born.”
Hearing the heavenly prophesy (he) started speaking (crying).

The foolish milkman’s daughter, realizing nothing
Placed (the little) Sri Hari on the demoness’ lap. 
The (baby) Narayana gurgled delightedly 
And started suckling (at her breast), drinking the demoness’ milk. ","[[[ 8 17 24]
  [10 15 21]
  [18 27 24]
  ...
  [45 52  8]
  [53 58  2]
  [59 64  0]]

 [[ 6 17 23]
  [ 6 13 21]
  [15 25 24]
  ...
  [45 52  8]
  [57 62  6]
  [67 72  6]]

 [[ 9 23 32]
  [ 9 19 29]
  [11 25 26]
  ...
  [46 54  5]
  [53 58  0]
  [65 70  4]]

 ...

 [[ 3 12  9]
  [ 1 13  1]
  [12 29 10]
  ...
  [23 47 13]
  [30 44 11]
  [39 46 13]]

 [[ 3 11 13]
  [ 5 16  8]
  [ 0 11  0]
  ...
  [31 40 11]
  [19 33  0]
  [28 45  9]]

 [[45 58 32]
  [20 36  0]
  [29 50  7]
  ...
  [11 41  5]
  [ 8 34  0]
  [27 49 11]]]"
"He suckled again and sucked Putana’s life out.
Howling with pain, Putana fell dead to the ground. 
And all the living creatures there dragged her out. 
","[[[178 161  31]
  [ 20   9   3]
  [  7  11  22]
  ...
  [  8   9  11]
  [  6  20   7]
  [  8  26   4]]

 [[166 148  22]
  [ 16   5   1]
  [  4   8  19]
  ...
  [ 11  23  21]
  [  7  29  16]
  [  5  29   7]]

 [[140 125   6]
  [  7   0   0]
  [  0   4  14]
  ...
  [ 10  31  26]
  [  4  32  18]
  [  1  30  12]]

 ...

 [[ 21  28   0]
  [ 23  26   0]
  [ 24  33   6]
  ...
  [  9  32   4]
  [ 14  25   8]
  [137 125  25]]

 [[ 22  37  16]
  [  8  11   2]
  [ 42  57   2]
  ...
  [  9  34  13]
  [  3  20   1]
  [135 121  16]]

 [[ 15  30   9]
  [  8  11   2]
  [ 47  62   7]
  ...
  [ 15  40  19]
  [  8  25   6]
  [118 104   0]]]"
Krishna slayed Agasura and the bird Bagasura in the water. ,"[[[255 205  61]
  [229 203  48]
  [ 88  82   4]
  ...
  [ 25  27   3]
  [ 33  29   4]
  [ 32  23  14]]

 [[255 210  60]
  [228 202  43]
  [ 81  75   1]
  ...
  [ 30  32  10]
  [ 34  30   5]
  [ 30  21  12]]

 [[255 209  47]
  [223 198  35]
  [ 73  66   0]
  ...
  [ 30  32  10]
  [ 28  23   1]
  [ 23  14   5]]

 ...

 [[ 52  56  19]
  [ 20  26   0]
  [ 29  38  11]
  ...
  [176 151 110]
  [187 159 122]
  [174 144 110]]

 [[ 53  61  22]
  [ 14  24   0]
  [ 16  29   1]
  ...
  [160 139  96]
  [180 156 118]
  [165 141 105]]

 [[ 56  67  27]
  [ 24  36   0]
  [ 23  38   7]
  ...
  [150 136  91]
  [170 155 112]
  [177 162 123]]]"
"He ripped off the horse Keshari’s head with a whack. 
All the heads steeped in sin, tumbled noisily to the ground.","[[[ 66 135 151]
  [ 70 142 157]
  [ 66 139 154]
  ...
  [236 189  11]
  [247 196  25]
  [237 187   0]]

 [[ 52 120 139]
  [ 80 151 169]
  [ 75 151 167]
  ...
  [225 189  15]
  [231 190  36]
  [223 178  14]]

 [[ 67 138 156]
  [ 67 140 157]
  [ 71 148 164]
  ...
  [224 199  34]
  [224 196  50]
  [229 193  35]]

 ...

 [[ 18  34  21]
  [  6  21  14]
  [ 11  26  21]
  ...
  [243 199  12]
  [241 197  12]
  [240 196  11]]

 [[ 18  34  21]
  [ 14  29  22]
  [ 17  32  27]
  ...
  [243 199  12]
  [241 197  12]
  [240 196  11]]

 [[ 12  28  15]
  [  8  23  16]
  [ 14  29  24]
  ...
  [243 199  12]
  [241 197  12]
  [240 196  11]]]"
"Tying up the calf, Yashoda milked the cow.
The two brothers Krishna-Balarama stole the butter. 
Fortunate Mother Yashoda (who) had been churning buttermilk
With a rope Yashoda tied them up. 
Having feasted of the curd and milk, the Lord lay down to sleep","[[[109 110   6]
  [239 217  10]
  [250 194   0]
  ...
  [  9  20  16]
  [  8  14  10]
  [ 17  27  18]]

 [[104 103  11]
  [234 210  14]
  [250 193   2]
  ...
  [  5  16  12]
  [  3  12   7]
  [ 11  21  12]]

 [[ 97  94  15]
  [229 203  20]
  [248 192   9]
  ...
  [  3  14  10]
  [  2  11   6]
  [  6  18   8]]

 ...

 [[  9  25  12]
  [ 13  29  18]
  [ 10  26  16]
  ...
  [188 168  35]
  [226 186  11]
  [217 170   6]]

 [[ 15  28  18]
  [ 16  29  20]
  [ 12  25  18]
  ...
  [195 171  63]
  [232 193  27]
  [219 177   0]]

 [[ 20  30  22]
  [ 17  26  21]
  [ 12  21  20]
  ...
  [193 170  68]
  [225 186  23]
  [218 176   0]]]"
"(When) the two-faced Sakat arrived to carry him away to Mathura.
With an umbrella upon his shoulders, a stick in his hand, he crossed (the river) with his cattle.
And carried Kamala, the calf, across so that she would not drown.
In bounteous palm and honey forests, Krishna rejoiced (with his friends).
While his cattle grazed, Krishna played in the forest. 
","[[[ 18  31   5]
  [118 113  32]
  [237 214  36]
  ...
  [  2  14  10]
  [106  99  21]
  [224 195   7]]

 [[ 18  32   0]
  [107 103  16]
  [229 207  25]
  ...
  [  2  17  10]
  [103  96  16]
  [221 193   5]]

 [[ 19  33   0]
  [ 92  88   1]
  [220 198  14]
  ...
  [  2  18   7]
  [104  99  17]
  [219 191   3]]

 ...

 [[ 59  66  15]
  [ 49  63   2]
  [ 97  99  16]
  ...
  [  7  11  12]
  [  7  13  13]
  [  5  11  11]]

 [[ 57  64  13]
  [ 50  64   3]
  [ 98 100  17]
  ...
  [ 10  11  13]
  [  9  13  14]
  [  8  12  13]]

 [[ 57  64  13]
  [ 50  64   3]
  [ 98 100  17]
  ...
  [ 10  11  13]
  [  9  13  14]
  [  8  12  13]]]"
"The night of Ram (Navami) ended and unaccompanied by their husbands
All the sakhis walked towards the Yamuna for a bath.
Govinda stole all their clothes 
And then threw the clothes back, one by one.","[[[ 32  60  12]
  [ 35  61  13]
  [ 47  59  21]
  ...
  [ 10  26   0]
  [ 15  16  11]
  [ 21  11  20]]

 [[ 33  60  15]
  [ 33  59  12]
  [ 42  54  18]
  ...
  [ 12  27   4]
  [ 13  14   8]
  [ 11   1   9]]

 [[ 32  59  18]
  [ 28  53  11]
  [ 32  43   9]
  ...
  [ 14  29  10]
  [ 17  18  10]
  [ 11   2   3]]

 ...

 [[ 45  91  27]
  [ 38  90   5]
  [ 39  96   0]
  ...
  [  7  16  13]
  [ 58  82   8]
  [112 154  16]]

 [[ 42  77  19]
  [ 50  92  10]
  [ 46  93   0]
  ...
  [  0   3   2]
  [  4  26   0]
  [ 68 102  26]]

 [[ 69  94  39]
  [ 95 126  48]
  [ 74 109  19]
  ...
  [  0  15   0]
  [  0  20   5]
  [  4  31  14]]]"
"“You are such a handsome boatman, (but) your boat is broken.”
“It’s not a broken boat O sakhi, but a charioteer’s boat. 
“I have carried horses and elephants across, how heavy could you be?
“Sit as you please O sakhi, in front of me or up ahead. 
“Droplets of water may trickle in, don’t giggle with shame.
“I will take an anna each to carry all your companions. 
“But to row Sri Radhika across, I shall take a gold earring.
“To carry all the sakhis across I will take a buri apiece
“But to carry Sri Radhika across, I shall have the bangles on her wrist.”
Lord Narayan preserved Radhika’s honour.
(Thus) Ayan Ghosh stood bemused as he beheld
Srimati (Radha) offering flowers at the feet of Kali.
A serpent wound itself around the Lord. 
In agony from the poison, the Lord turned blue.
Endangered, as he was, the Lord evoked Garuda. 
Hearing Garuda’s roar, the serpent fled to the netherworld. ","[[[198  42  19]
  [186  34  10]
  [189  39   4]
  ...
  [  6   5   3]
  [  0   3   0]
  [ 11  20  17]]

 [[196  38  13]
  [186  36   9]
  [180  32  22]
  ...
  [ 26  27   0]
  [ 22  30   6]
  [  4  15   9]]

 [[186  32  30]
  [193  43  19]
  [191  35  10]
  ...
  [180 170  83]
  [108 107  50]
  [ 17  21   0]]

 ...

 [[ 86  98  22]
  [ 13  29   3]
  [  0  14  15]
  ...
  [ 55  69  18]
  [ 89 124   4]
  [ 73 117   6]]

 [[ 18  32   6]
  [  2  13   0]
  [ 29  38   7]
  ...
  [  3  12   9]
  [ 56  85   0]
  [ 88 127  12]]

 [[  6  49   6]
  [ 41  51   0]
  [180 169  19]
  ...
  [  0   0  25]
  [ 32  51   5]
  [ 81 114   9]]]"
"Saved from the serpent, (Krishna) performed the raasa.

In Vrindavana, Raasa was celebrated in the bowers of sixteen-hundred gopinis. 
Each gopi danced joyously in her own bower. 
Within the bowers, Madhusudan (Krishna) played his flute.","[[[ 80  92  46]
  [ 18  31   1]
  [ 25  41  28]
  ...
  [ 24  14  13]
  [ 17  10   2]
  [ 22  24  11]]

 [[ 74  87  41]
  [ 16  29   0]
  [ 22  39  23]
  ...
  [  9  10   4]
  [  0   1   0]
  [  7  18   4]]

 [[ 72  85  39]
  [ 19  34   3]
  [ 22  39  23]
  ...
  [  8  19   5]
  [  0   9   6]
  [  8  24  11]]

 ...

 [[ 16  46   8]
  [ 17  38  19]
  [ 18  34  21]
  ...
  [ 27  13   2]
  [ 50  55   0]
  [ 58  62   1]]

 [[ 16  48  11]
  [ 12  34  13]
  [ 20  33  23]
  ...
  [110 118   0]
  [  2  18   0]
  [ 13  31   7]]

 [[ 18  50  13]
  [ 13  35  14]
  [ 21  34  24]
  ...
  [135 143  22]
  [ 24  40   4]
  [ 28  46  22]]]"
"Whoever drives the chariot must slay the gopis first. 
Seizing the chariot’s wheels, the gopis threw themselves on the ground.


The story of Krishna’s raasaleela is hereby completed.
By the virtue of Krishna’s raasaleela everything thrives eternally. 
This is where I end my poetic offering. 
Medinipur’s Bahar Chitrakar is the name of the author. 
O, Medinipur is the address. 

","[[[230 185   6]
  [254 208   0]
  [131 114  10]
  ...
  [109  92  40]
  [  5   8   0]
  [ 19  31  27]]

 [[235 190  11]
  [255 214   6]
  [136 119  15]
  ...
  [ 88  75  23]
  [ 10  18   0]
  [ 15  30  23]]

 [[232 187   8]
  [255 211   3]
  [134 117  13]
  ...
  [ 71  63  16]
  [  9  21   0]
  [ 10  26  16]]

 ...

 [[231 180   9]
  [147 106   0]
  [ 44  20   0]
  ...
  [211 191 104]
  [209 191  33]
  [228 173  28]]

 [[238 195   5]
  [124 100   4]
  [ 11  12   4]
  ...
  [219 200  98]
  [205 188  22]
  [228 181  15]]

 [[249 211   4]
  [133 120  24]
  [ 11  30  28]
  ...
  [225 204 121]
  [198 175  17]
  [220 178   4]]]"
"When the divine Krishna plays his flute under the shade of a tree 
All the gopis of Braj go into raptures.
Some dance, some sing while some chant “Hari”.
With Radha’s name on their lips, they roll on the ground in ecstasy.
The lord (Krishna) has tied his turban with a peacock feather. 
A garland made from all the flowers of Braj adorns his head.
To the tinkling of cymbals, a Bakul flower is added to the garland. 
On his feet the Lord has worn anklets.","[[[ 5  8 25]
  [11 14 33]
  [ 2  4 27]
  ...
  [ 6  0 14]
  [ 1  0 16]
  [ 1  0 16]]

 [[ 3  4 22]
  [ 6  9 28]
  [ 0  1 24]
  ...
  [ 7  0 18]
  [ 4  3 17]
  [ 4  3 17]]

 [[ 1  2 20]
  [ 8  9 29]
  [ 3  5 26]
  ...
  [ 8  0 23]
  [ 4  4 14]
  [ 4  4 14]]

 ...

 [[ 1  5 16]
  [ 3  4 22]
  [11  9 33]
  ...
  [ 2  8  8]
  [ 7  7 17]
  [ 4  2 24]]

 [[ 3  7 16]
  [ 5  7 22]
  [14 11 38]
  ...
  [ 7 16 25]
  [ 5  0 30]
  [ 3  0 17]]

 [[ 2 10 31]
  [10 12 37]
  [14 18 43]
  ...
  [11 15 42]
  [ 3  1 22]
  [ 3  3 13]]]"
"A veiled Radha is on her way to the river to collect water. 
Her gait is graceful and alluring.
As the sun sets, she sees Kanai (Krishna) waiting by the pond.

Seeing him, Radha quickly draws her veil across herself.
She berates him: “I have had to cover my bosom on your account.
“Who has summoned you here, shameless Kanai (Krishna)? “ 
“Nobody has sent for me, Aunt; I have come on my own. “
(Radha responds:) “You are my nephew and I, your aunt.”
(Krishna replies:) “If you are my maternal uncle’s wife, indeed you belong to another family.
“I, the shameless Kanai, am only teasing you.”
","[[[135 107  83]
  [132 104  80]
  [132 104  80]
  ...
  [  1   1  13]
  [  1   1  13]
  [  1   1  13]]

 [[128 100  76]
  [127  99  75]
  [131 103  79]
  ...
  [  2   2  14]
  [  1   1  13]
  [  1   1  13]]

 [[128 100  76]
  [129 101  77]
  [133 105  81]
  ...
  [  3   3  15]
  [  2   2  14]
  [  2   2  14]]

 ...

 [[  1   6  25]
  [  1   2  22]
  [  5   4  22]
  ...
  [  2   1  17]
  [  2   1  17]
  [  2   1  17]]

 [[  0   2  24]
  [  0   0  20]
  [  4   2  24]
  ...
  [  2   1  17]
  [  2   1  17]
  [  2   1  17]]

 [[  0   2  24]
  [  0   0  20]
  [  4   2  24]
  ...
  [  2   1  17]
  [  2   1  17]
  [  2   1  17]]]"
"(Responds Radha:) “Let Nanda Ghosh (Krishna’s adoptive father) come here and I shall fix you.
“The cows of your shed shall be sold and I shall humble you.”
“Let my cows be lost,” (says Krishna); “I shall rear cows afresh. 
“But where will I find an aunt as beautiful as you?”
“Why do you yearn for someone else’s woman?
“Go home and ask your father to get you married off!”
“I did try, Aunt,” says Krishna, “but my fate has been sealed. 
“I am to marry someone who is called Radha.

“Don’t keep calling me dark, Bhanu Ghosh’s daughter. 
“God has made me dark, what can I do?
“The waters of the Yamuna are dark, so why do you fill your pitcher with it? 
“Your bosom will be my pitcher, your hair my rope.
“For me, your heart is the water of the Yamuna.
“I will drown myself in these waters – this is my desire.”","[[[ 18  24  36]
  [ 14  30  30]
  [  0  17   2]
  ...
  [  0   1   5]
  [  0   0  15]
  [  7   6  22]]

 [[  0   0  14]
  [  0   8   9]
  [ 21  38  22]
  ...
  [  6   3  14]
  [  1   0  16]
  [  3   2  18]]

 [[ 10  11  31]
  [  0  10  12]
  [ 41  54  36]
  ...
  [ 10   2  15]
  [  3   2  18]
  [  1   0  16]]

 ...

 [[  0   5  21]
  [  4   4   6]
  [  0   0   9]
  ...
  [  1   1  11]
  [ 13  25   3]
  [ 65 125  87]]

 [[  0  10  26]
  [  9  10   5]
  [  5   3   4]
  ...
  [  1   1  11]
  [  6  20   5]
  [ 48 104  75]]

 [[  0  14  31]
  [  6   7   0]
  [  9   6   1]
  ...
  [  0   0  10]
  [  6  22  12]
  [ 52 104  82]]]"
"Krishna is filled with remorse.
He commands his flute to turn into a black snake. 
The flute-turned-snake lies in wait on the road.
","[[[113   0  24]
  [101   6  26]
  [ 59   0   9]
  ...
  [  6   3  24]
  [  5   2  23]
  [  6   3  22]]

 [[ 30   0   0]
  [ 29   5   5]
  [ 11   1   0]
  ...
  [  1   2  20]
  [  0   1  19]
  [  2   4  19]]

 [[ 19   3   4]
  [ 15   6   7]
  [  0   3   4]
  ...
  [  0   0   9]
  [  0   0   9]
  [  2   3   8]]

 ...

 [[  0  10   0]
  [ 43  78  58]
  [ 60  83  67]
  ...
  [ 27 104  24]
  [  0  73   6]
  [ 11  83  19]]

 [[  0  12  13]
  [ 38  86  64]
  [ 34  85  54]
  ...
  [ 12  49  18]
  [  4  56   7]
  [ 11  46  22]]

 [[  0  14   1]
  [ 68 115  95]
  [ 32  80  68]
  ...
  [  0   2  13]
  [  0  15   6]
  [  0   9  22]]]"
"Curling around her right ankle, it bites Radha’s left ankle.
Radha (in desperation) agrees to whatever Krishna had asked for. 
“The snake has bitten me, save me please,” she cries.
“Tell me truthfully, aunt,“ (says Krishna) “how far has the poison spread?”
“It has spread to every part of my body,” she cries. 
Krishna then, using his divine touch, drives away the poison from her body. 
Rid of the poison, Radha opens her eyes.
","[[[146 125  94]
  [139 118  87]
  [135 114  83]
  ...
  [160 141 108]
  [160 141 108]
  [160 141 108]]

 [[143 122  91]
  [142 121  90]
  [135 114  83]
  ...
  [160 141 108]
  [160 141 108]
  [160 141 108]]

 [[135 114  83]
  [143 122  91]
  [137 116  85]
  ...
  [160 141 108]
  [160 141 108]
  [160 141 108]]

 ...

 [[119 127 103]
  [  0  82  47]
  [ 32  96  79]
  ...
  [ 57 125  40]
  [ 16  66  28]
  [  1   0   0]]

 [[118 126 102]
  [  4  94  59]
  [ 47 110  93]
  ...
  [ 83 148  46]
  [ 35  80  41]
  [ 14   5   6]]

 [[129 130  98]
  [ 21  93  56]
  [ 57 119  94]
  ...
  [ 39 113  38]
  [  8  62  46]
  [  6   0   4]]]"
"Krishna now assumes the form of Krishna Kali.
Ayan Ghosh stands there in deep thought, observing the scene. 
Seeing Radha offering flowers at Kali’s feet
He orders Jotila and Kutila not to disturb Radha. 
And that is how aunt and nephew are united. ","[[[142 115  86]
  [139 114  84]
  [134 111  80]
  ...
  [114 106  87]
  [178 162 126]
  [162 138 100]]

 [[145 120  90]
  [146 121  91]
  [136 113  82]
  ...
  [113 105  86]
  [178 162 126]
  [162 138 100]]

 [[128 103  73]
  [138 113  83]
  [130 107  76]
  ...
  [111 103  84]
  [178 162 126]
  [162 138 100]]

 ...

 [[161 141 108]
  [163 143 106]
  [163 147 111]
  ...
  [ 37  51  34]
  [102 141  94]
  [ 35  85  48]]

 [[159 139 106]
  [162 142 105]
  [163 147 111]
  ...
  [ 49  61  57]
  [ 94 132  95]
  [ 50  98  74]]

 [[156 136 103]
  [161 141 104]
  [166 150 114]
  ...
  [  3  20  28]
  [  6  44  29]
  [  0  32   5]]]"
"And here I end my recitation.
I, the writer, am Bahar Chitrakar 
And I live in Medinipur.
Ah, Medinipur is where I live.","[[[ 2  2 12]
  [ 4  4 14]
  [ 4  4 14]
  ...
  [ 3  1 12]
  [ 0  4  0]
  [19 75 50]]

 [[ 2  2 12]
  [ 4  4 14]
  [ 4  4 14]
  ...
  [ 2  0 11]
  [ 0  3  0]
  [20 74 50]]

 [[ 3  3 13]
  [ 5  5 15]
  [ 5  5 15]
  ...
  [ 2  1  9]
  [ 0  2  2]
  [18 67 46]]

 ...

 [[ 7 13 25]
  [ 7 13 27]
  [ 0  5 24]
  ...
  [ 8  0 14]
  [ 0  0  0]
  [ 0  5  0]]

 [[ 8 27 33]
  [ 2 16 25]
  [ 0  8 23]
  ...
  [ 5  0  7]
  [ 5  1 15]
  [ 3  2 20]]

 [[ 7 26 32]
  [ 3 17 26]
  [ 2 11 26]
  ...
  [ 0  4  6]
  [11  0 14]
  [ 0  4 20]]]"
"When the divine Krishna plays his flute under the shade of a tree 
All the gopis of Braj go into raptures.
Some dance, some sing while some chant “Hari”.
With Radha’s name on their lips, they roll on the ground in ecstasy.
The lord (Krishna) has tied his turban with a peacock feather. 
A garland made from all the flowers of Braj adorns his head.
To the tinkling of cymbals, a Bakul flower is added to the garland. 
On his feet the Lord has worn anklets.","[[[ 36  36  44]
  [ 36  36  44]
  [ 36  36  44]
  ...
  [ 11   7  21]
  [ 15  11  26]
  [  7   3  20]]

 [[ 36  36  44]
  [ 36  36  44]
  [ 36  36  44]
  ...
  [144 151 159]
  [150 159 168]
  [149 158 167]]

 [[ 36  36  44]
  [ 36  36  44]
  [ 36  36  44]
  ...
  [237 255 255]
  [236 255 255]
  [234 255 255]]

 ...

 [[198 209 213]
  [ 28  35  41]
  [ 13  18  24]
  ...
  [114 128 129]
  [ 12  19  25]
  [ 36  36  46]]

 [[ 72  79  85]
  [  0   1   7]
  [ 23  23  31]
  ...
  [ 79  94 101]
  [  6  10  19]
  [ 44  38  48]]

 [[ 16  21  27]
  [ 45  45  53]
  [ 41  40  48]
  ...
  [ 62  76  87]
  [ 21  24  33]
  [ 43  35  46]]]"
"A veiled Radha is on her way to the river to collect water. 
Her gait is graceful and alluring.
As the sun sets, she sees Kanai (Krishna) waiting by the pond.","[[[ 16  19  28]
  [ 13  15  12]
  [ 13  16   5]
  ...
  [201 215 226]
  [205 213 224]
  [206 214 225]]

 [[ 16  19  28]
  [ 13  15  12]
  [ 11  14   3]
  ...
  [190 204 217]
  [205 213 224]
  [204 212 223]]

 [[ 17  20  29]
  [ 14  16  13]
  [  9  12   1]
  ...
  [190 202 218]
  [207 215 226]
  [203 211 222]]

 ...

 [[186 201 220]
  [171 186 205]
  [166 183 201]
  ...
  [169 190 219]
  [181 197 222]
  [186 202 227]]

 [[197 212 231]
  [176 191 210]
  [183 200 218]
  ...
  [173 194 223]
  [182 198 223]
  [187 203 228]]

 [[140 155 174]
  [ 68  83 102]
  [ 42  59  77]
  ...
  [180 201 230]
  [183 199 224]
  [182 198 223]]]"
"Seeing him, Radha quickly draws her veil across herself.
She berates him: “I have had to cover my bosom on your account.
“Who has summoned you here, shameless Kanai (Krishna)? “ 
“Nobody has sent for me, Aunt; I have come on my own. “
(Radha responds:) “You are my nephew and I, your aunt.”
(Krishna replies:) “If you are my maternal uncle’s wife, indeed you belong to another family.
“I, the shameless Kanai, am only teasing you.”","[[[ 15  14  19]
  [ 15  14  19]
  [ 15  14  19]
  ...
  [186 201 224]
  [188 203 226]
  [130 142 168]]

 [[ 15  14  19]
  [ 15  14  19]
  [ 15  14  19]
  ...
  [187 202 225]
  [188 203 226]
  [197 211 237]]

 [[ 15  14  19]
  [ 15  14  19]
  [ 15  14  19]
  ...
  [184 199 222]
  [186 201 224]
  [177 191 217]]

 ...

 [[198 202 213]
  [206 210 221]
  [207 211 222]
  ...
  [220 229 246]
  [214 223 240]
  [214 222 245]]

 [[228 232 243]
  [235 239 250]
  [231 235 246]
  ...
  [159 168 185]
  [161 170 187]
  [139 149 159]]

 [[114 118 129]
  [121 125 136]
  [117 121 132]
  ...
  [ 13  22  39]
  [ 26  35  52]
  [ 10  20  30]]]"
"(Responds Radha:) “Let Nanda Ghosh (Krishna’s adoptive father) come here and I shall fix you.
“The cows of your shed shall be sold and I shall humble you.”
","[[[191 203 219]
  [192 204 220]
  [191 203 219]
  ...
  [204 220 235]
  [198 215 231]
  [197 214 230]]

 [[190 202 218]
  [193 205 221]
  [194 206 222]
  ...
  [203 219 234]
  [198 215 233]
  [197 214 232]]

 [[184 196 212]
  [190 202 218]
  [193 205 221]
  ...
  [202 218 234]
  [197 214 232]
  [196 213 231]]

 ...

 [[191 200 215]
  [199 208 223]
  [195 204 219]
  ...
  [161 179 193]
  [159 176 192]
  [183 200 216]]

 [[191 200 215]
  [197 206 221]
  [194 203 218]
  ...
  [178 196 210]
  [173 191 205]
  [191 209 223]]

 [[191 200 215]
  [195 204 219]
  [193 202 217]
  ...
  [177 197 198]
  [145 165 163]
  [160 180 178]]]"
"“Let my cows be lost,” (says Krishna); “I shall rear cows afresh. 
“But where will I find an aunt as beautiful as you?”
","[[[ 15  14  10]
  [ 17  16  12]
  [ 17  16  12]
  ...
  [207 217 227]
  [218 228 238]
  [220 230 242]]

 [[  3   4   8]
  [  3   4   8]
  [  2   3   7]
  ...
  [207 215 226]
  [223 231 242]
  [230 238 249]]

 [[ 25  31  43]
  [ 23  29  41]
  [ 26  32  44]
  ...
  [215 223 234]
  [222 230 241]
  [225 233 244]]

 ...

 [[184 191 199]
  [215 222 232]
  [208 214 228]
  ...
  [178 192 218]
  [177 192 215]
  [174 186 210]]

 [[181 188 196]
  [221 228 238]
  [210 216 230]
  ...
  [165 182 198]
  [146 163 179]
  [128 146 160]]

 [[166 173 181]
  [213 220 230]
  [208 214 228]
  ...
  [ 93 110 126]
  [ 59  76  92]
  [ 33  51  65]]]"
"“Why do you yearn for someone else’s woman?
“Go home and ask your father to get you married off!”
“I did try, Aunt,” says Krishna, “but my fate has been sealed. 
“I am to marry someone who is called Radha.
","[[[ 24  23   5]
  [147 147 147]
  [216 222 238]
  ...
  [209 216 235]
  [209 217 236]
  [208 220 242]]

 [[ 35  34  16]
  [154 154 154]
  [218 224 240]
  ...
  [212 215 232]
  [204 210 226]
  [213 226 245]]

 [[ 34  33  15]
  [154 154 154]
  [214 220 236]
  ...
  [207 205 219]
  [195 193 207]
  [219 232 251]]

 ...

 [[221 224 233]
  [220 223 238]
  [218 224 240]
  ...
  [228 212 225]
  [211 188 198]
  [238 220 234]]

 [[222 223 243]
  [224 228 253]
  [218 222 249]
  ...
  [216 210 220]
  [230 217 224]
  [234 225 246]]

 [[210 208 229]
  [208 214 238]
  [198 205 231]
  ...
  [204 201 212]
  [240 227 234]
  [227 225 247]]]"
"“Don’t keep calling me dark, Bhanu Ghosh’s daughter. 
“God has made me dark, what can I do?
“The waters of the Yamuna are dark, so why do you fill your pitcher with it? 
“Your bosom will be my pitcher, your hair my rope.
“For me, your heart is the water of the Yamuna.
“I will drown myself in these waters – this is my desire.”","[[[214 227 243]
  [215 229 242]
  [208 222 235]
  ...
  [ 85  98 115]
  [176 188 214]
  [210 223 242]]

 [[215 228 244]
  [214 227 243]
  [208 222 235]
  ...
  [ 93 106 123]
  [185 197 223]
  [206 219 238]]

 [[216 229 245]
  [211 224 240]
  [207 220 236]
  ...
  [101 114 131]
  [193 205 231]
  [207 220 239]]

 ...

 [[202 215 223]
  [206 219 225]
  [215 229 230]
  ...
  [206 222 238]
  [207 219 233]
  [213 223 235]]

 [[196 209 217]
  [210 223 229]
  [218 232 233]
  ...
  [201 216 235]
  [210 222 238]
  [210 219 234]]

 [[183 196 204]
  [209 222 228]
  [216 230 231]
  ...
  [195 210 229]
  [210 221 239]
  [203 212 227]]]"
"Krishna is filled with remorse.
He commands his flute to turn into a black snake. 
The flute-turned-snake lies in wait on the road.
Curling around her right ankle, it bites Radha’s left ankle.
Radha (in desperation) agrees to whatever Krishna had asked for. 
“The snake has bitten me, save me please,” she cries.
“Tell me truthfully, aunt,“ (says Krishna) “how far has the poison spread?”
“It has spread to every part of my body,” she cries. 
Krishna then, using his divine touch, drives away the poison from her body. 
Rid of the poison, Radha opens her eyes.
","[[[201 212 230]
  [201 212 230]
  [201 212 230]
  ...
  [213 223 233]
  [213 225 225]
  [206 218 218]]

 [[201 212 230]
  [201 212 230]
  [201 212 230]
  ...
  [229 230 248]
  [237 240 247]
  [213 216 223]]

 [[201 212 230]
  [201 212 230]
  [201 212 230]
  ...
  [237 225 245]
  [239 229 238]
  [218 208 217]]

 ...

 [[182 212 248]
  [ 68  84 107]
  [  7  10  15]
  ...
  [229 226 235]
  [228 227 225]
  [217 216 214]]

 [[181 211 247]
  [ 67  83 106]
  [  6   9  14]
  ...
  [223 220 229]
  [225 224 222]
  [217 216 214]]

 [[181 211 247]
  [ 67  83 106]
  [  6   9  14]
  ...
  [233 230 239]
  [234 233 231]
  [227 226 224]]]"
